Subject,Url
Organic Chemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/organic-chemistry/_/N-8q9Z18dx;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Physical & Theoretical Chemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/physical-theoretical-chemistry/_/N-8q9Z18dy;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Polymers & Polymerization in Chemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/polymers-polymerization-in-chemistry/_/N-8q9Z18e3;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Technical & Industrial Chemistry,https://www.barnesandnoble.com//b/textbooks/chemistry/technical-industrial-chemistry/_/N-8q9Z18dz;jsessionid=2CD6DADC691EE7752F90A437014204FC.prodny_store01-va05
Apple,https://www.barnesandnoble.com//b/textbooks/computers/apple/_/N-8q9Zxhr
Applications & Software,https://www.barnesandnoble.com//b/textbooks/computers/applications-software/_/N-8q9Zug5
Artificial Intelligence (AI),https://www.barnesandnoble.com//b/textbooks/computers/artificial-intelligence-ai/_/N-8q9Zuv9
Computer Business & Culture,https://www.barnesandnoble.com//b/textbooks/computers/computer-business-culture/_/N-8q9Zuvm
Computer Certification & Training,https://www.barnesandnoble.com//b/textbooks/computers/computer-certification-training/_/N-8q9Zv0t
Computer Graphics & Design,https://www.barnesandnoble.com//b/textbooks/computers/computer-graphics-design/_/N-8q9Zv95
Computer Hardware,https://www.barnesandnoble.com//b/textbooks/computers/computer-hardware/_/N-8q9Zvkf
Computer Programming,https://www.barnesandnoble.com//b/textbooks/computers/computer-programming/_/N-8q9Zvlu
Computer Reference & Documentation,https://www.barnesandnoble.com//b/textbooks/computers/computer-reference-documentation/_/N-8q9Zw8i
Computers - General & Miscellaneous,https://www.barnesandnoble.com//b/textbooks/computers/computers-general-miscellaneous/_/N-8q9Zwct
Database Management,https://www.barnesandnoble.com//b/textbooks/computers/database-management/_/N-8q9Zwnp
Enterprise Computing Systems,https://www.barnesandnoble.com//b/textbooks/computers/enterprise-computing-systems/_/N-8q9Zwsk
Home Computer User & Beginner,https://www.barnesandnoble.com//b/textbooks/computers/home-computer-user-beginner/_/N-8q9Zwwp
Internet & World Wide Web,https://www.barnesandnoble.com//b/textbooks/computers/internet-world-wide-web/_/N-8q9Zwyc
Multimedia,https://www.barnesandnoble.com//b/textbooks/computers/multimedia/_/N-8q9Zxk2
Networking & Telecommunications,https://www.barnesandnoble.com//b/textbooks/computers/networking-telecommunications/_/N-8q9Zxnz
Operating Systems,https://www.barnesandnoble.com//b/textbooks/computers/operating-systems/_/N-8q9Zxy8
Design - Furniture,https://www.barnesandnoble.com//b/textbooks/design/design-furniture/_/N-8q9Zsc0
Design - General & Miscellaneous,https://www.barnesandnoble.com//b/textbooks/design/design-general-miscellaneous/_/N-8q9Zsc1
Design - Industrial,https://www.barnesandnoble.com//b/textbooks/design/design-industrial/_/N-8q9Zsc2
Design - Jewelry,https://www.barnesandnoble.com//b/textbooks/design/design-jewelry/_/N-8q9Zsc3
Textiles & Textile Design,https://www.barnesandnoble.com//b/textbooks/design/textiles-textile-design/_/N-8q9Zsc4
Agricultural Economics,https://www.barnesandnoble.com//b/textbooks/economics/agricultural-economics/_/N-8q9Ztlh;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Competition - Economics,https://www.barnesandnoble.com//b/textbooks/economics/competition-economics/_/N-8q9Ztle;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Consumption - Economics,https://www.barnesandnoble.com//b/textbooks/economics/consumption-economics/_/N-8q9Ztlb;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economic Conditions,https://www.barnesandnoble.com//b/textbooks/economics/economic-conditions/_/N-8q9Ztlj;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economic Development,https://www.barnesandnoble.com//b/textbooks/economics/economic-development/_/N-8q9Ztks;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economic Forecasting,https://www.barnesandnoble.com//b/textbooks/economics/economic-forecasting/_/N-8q9Ztlf;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economic History,https://www.barnesandnoble.com//b/textbooks/economics/economic-history/_/N-8q9Ztlv;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economic Reference,https://www.barnesandnoble.com//b/textbooks/economics/economic-reference/_/N-8q9Ztkm;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economic Systems,https://www.barnesandnoble.com//b/textbooks/economics/economic-systems/_/N-8q9Ztkf;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economic Theory & Schools of Thought,https://www.barnesandnoble.com//b/textbooks/economics/economic-theory-schools-of-thought/_/N-8q9Ztm1;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economics - General & Miscellaneous,https://www.barnesandnoble.com//b/textbooks/economics/economics-general-miscellaneous/_/N-8q9Ztl9;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economics - Mathematical & Quanitative Methods,https://www.barnesandnoble.com//b/textbooks/economics/economics-mathematical-quanitative-methods/_/N-8q9Ztkb;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economics - Religious & Moral Aspects,https://www.barnesandnoble.com//b/textbooks/economics/economics-religious-moral-aspects/_/N-8q9Ztld;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Economics of Education,https://www.barnesandnoble.com//b/textbooks/economics/economics-of-education/_/N-8q9Ztlc;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Environmental Economics,https://www.barnesandnoble.com//b/textbooks/economics/environmental-economics/_/N-8q9Ztli;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Health Economics,https://www.barnesandnoble.com//b/textbooks/economics/health-economics/_/N-8q9Ztlg;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
International Economics,https://www.barnesandnoble.com//b/textbooks/economics/international-economics/_/N-8q9Ztl2;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Labor Economics,https://www.barnesandnoble.com//b/textbooks/economics/labor-economics/_/N-8q9Ztkx;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Macroeconomics,https://www.barnesandnoble.com//b/textbooks/economics/macroeconomics/_/N-8q9Ztma;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Microeconomics,https://www.barnesandnoble.com//b/textbooks/economics/microeconomics/_/N-8q9Ztla;jsessionid=37C5FC7171B5A7D921E763AA773E1F51.prodny_store01-va04
Academic Administration,https://www.barnesandnoble.com//b/textbooks/education/academic-administration/_/N-8q9Zzmn
Education - General & Miscellaneous,https://www.barnesandnoble.com//b/textbooks/education/education-general-miscellaneous/_/N-8q9Zzmx
Education - Social & Political Aspects,https://www.barnesandnoble.com//b/textbooks/education/education-social-political-aspects/_/N-8q9Zzna
Educational Guidance & Counseling,https://www.barnesandnoble.com//b/textbooks/education/educational-guidance-counseling/_/N-8q9Zznn
Educational Levels & Settings,https://www.barnesandnoble.com//b/textbooks/education/educational-levels-settings/_/N-8q9Zznr
"Educational Theory, Research & History",https://www.barnesandnoble.com//b/textbooks/education/educational-theory-research-history/_/N-8q9Zzo7
Homeschooling,https://www.barnesandnoble.com//b/textbooks/education/homeschooling/_/N-8q9Z1xv4
Individual Colleges & Universities,https://www.barnesandnoble.com//b/textbooks/education/individual-colleges-universities/_/N-8q9Zzos
Special Education,https://www.barnesandnoble.com//b/textbooks/education/special-education/_/N-8q9Zzp4
Teaching & Teacher Training,https://www.barnesandnoble.com//b/textbooks/education/teaching-teacher-training/_/N-8q9Zzpn
Teaching - Reading & Language,https://www.barnesandnoble.com//b/textbooks/education/teaching-reading-language/_/N-8q9Zzmh
Aerospace Engineering,https://www.barnesandnoble.com//b/textbooks/engineering/aerospace-engineering/_/N-8q9Z2bxz;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
CAD/CAM,https://www.barnesandnoble.com//b/textbooks/engineering/cad-cam/_/N-8q9Z2by6;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Chemical Engineering,https://www.barnesandnoble.com//b/textbooks/engineering/chemical-engineering/_/N-8q9Z2bya;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Civil & Structural Engineering,https://www.barnesandnoble.com//b/textbooks/engineering/civil-structural-engineering/_/N-8q9Z2byg;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Computer Technology,https://www.barnesandnoble.com//b/textbooks/engineering/computer-technology/_/N-8q9Z2byo;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Construction & Building Trades,https://www.barnesandnoble.com//b/textbooks/engineering/construction-building-trades/_/N-8q9Z2bys;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Electrical & Electronic Engineering,https://www.barnesandnoble.com//b/textbooks/engineering/electrical-electronic-engineering/_/N-8q9Z2bzd;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Energy & Power Resources,https://www.barnesandnoble.com//b/textbooks/engineering/energy-power-resources/_/N-8q9Z2bzx;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Engineering - General & Miscellaneous,https://www.barnesandnoble.com//b/textbooks/engineering/engineering-general-miscellaneous/_/N-8q9Z2c06;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Engineering Technology,https://www.barnesandnoble.com//b/textbooks/engineering/engineering-technology/_/N-8q9Z2c24;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Environmental Engineering,https://www.barnesandnoble.com//b/textbooks/engineering/environmental-engineering/_/N-8q9Z2c0e;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Hydraulic Engineering,https://www.barnesandnoble.com//b/textbooks/engineering/hydraulic-engineering/_/N-8q9Z2c0j;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Industrial Engineering & Materials Science,https://www.barnesandnoble.com//b/textbooks/engineering/industrial-engineering-materials-science/_/N-8q9Z2c0s;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
Mechanical Engineering & Dynamics,https://www.barnesandnoble.com//b/textbooks/engineering/mechanical-engineering-dynamics/_/N-8q9Z2c14;jsessionid=6486041D763E0A6C80A297911476BDB2.prodny_store01-va08
